latitude,longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,source,operator,network_type,label_source,sample_weight,is_deadzone,signal_target,regression_weight,quality_score,cost231_predicted_rsrp,p1812_rsrp_dbm,p1812_distance_km,p1812_diffraction_loss_db
34.66709959253006,36.09283447265625,9091.0,13383.0,19.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-95.6874454843583,0.6,0.7691345725262917,,,,
34.644506677932334,36.12030029296875,17990.0,18364.0,19.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-91.79560790838029,0.6,0.8321389453098816,,,,
34.6354677878332,36.12579345703125,70084.0,11839.0,28.0,3.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-80.12842976690877,0.6,0.9303053512743368,,,,
34.599302377462635,36.14227294921875,12740.0,5029.0,43.0,9.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-93.6785768494315,0.6,0.7628146528871037,,,,
34.60382391547706,36.19171142578125,1999.0,137.0,44.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-105.0036076395873,0.6,0.5345083432705053,,,,
34.60382391547706,36.20269775390625,13159.0,5225.0,24.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-93.50199924202845,0.6,0.7773609174625158,,,,
34.712266941280404,36.21917724609375,6722.0,1265.0,37.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-97.86518776120724,0.6,0.6848810623243663,,,,
34.712266941280404,36.29608154296875,16967.0,4172.0,35.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-92.11507947381831,0.6,0.7873177183716376,,,,
34.70323544328511,36.22467041015625,6557.0,3432.0,29.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-98.04446100012711,0.6,0.7081307118229628,,,,
34.671617436363604,36.25762939453125,3866.0,853.0,24.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-101.40358034137186,0.6,0.6385522787701462,,,,
34.68516948942845,36.37298583984375,2462.0,544.0,34.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-103.86593392264683,0.6,0.5860906447010924,,,,
